State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Assam,Barpeta,"Barpeta Road","Bitter gourd","Bitter Gourd",Local,12/11/2024,2600,2800,2700
Assam,Barpeta,"Barpeta Road","French Beans (Frasbean)","French Beans (Frasbean)",Local,12/11/2024,3500,4000,3800
Assam,Barpeta,"Barpeta Road",Tomato,Tomato,Local,12/11/2024,2400,3700,2500
Assam,Goalpara,Simlitola,"Bhindi(Ladies Finger)",Bhindi,Local,12/11/2024,4000,4500,4000
Assam,Goalpara,Simlitola,"Bitter gourd","Bitter Gourd",Local,12/11/2024,2000,2500,2400
Assam,Goalpara,Simlitola,Capsicum,Capsicum,Local,12/11/2024,2000,2500,2500
Assam,Goalpara,Simlitola,Ginger(Green),"Green Ginger",Local,12/11/2024,5000,6000,5500
Assam,"Karbi Anglong",Diphu,"Bitter gourd","Bitter Gourd",Local,12/11/2024,4000,4500,4400
Assam,"Karbi Anglong",Diphu,Ginger(Green),"Green Ginger",Local,12/11/2024,10000,12000,11000
Assam,Nalbari,Nalbari,"Bitter gourd","Bitter Gourd",Local,12/11/2024,2600,3000,3000
Assam,Nalbari,Nalbari,Ginger(Green),"Green Ginger",Local,12/11/2024,5000,6000,5200
Assam,Sibsagar,Sibsagar,Ginger(Green),"Green Ginger",Local,12/11/2024,10500,11500,11500
Assam,Sibsagar,Sibsagar,Pumpkin,Pumpkin,Local,12/11/2024,1600,2000,2000
Bihar,Araria,Forbesganj,Potato,Jyoti,FAQ,12/11/2024,2000,2700,2300
Bihar,Jamui,Jamui,Onion,Medium,FAQ,12/11/2024,4400,4600,4500
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),"I.R. 64",Local,12/11/2024,1900,1900,1900
Chattisgarh,Surajpur,Surajpur,Maize,"Deshi Red",Local,12/11/2024,2300,2300,2300
Goa,"South Goa",Curchorem,Coconut,Big,FAQ,12/11/2024,900,1400,1150
Goa,"South Goa",Curchorem,Coconut,Medium,FAQ,12/11/2024,770,990,880
Gujarat,Ahmedabad,Viramgam,"Castor Seed","Castor seed",FAQ,12/11/2024,6285,6505,6395
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,12/11/2024,3000,3500,3250
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,12/11/2024,3450,4050,3800
Gujarat,Amreli,Damnagar,"Green Chilli","Green Chilly",FAQ,12/11/2024,2200,3050,2850
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,12/11/2024,3850,5050,4300
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,12/11/2024,7000,7500,7350
Gujarat,Anand,"Khambhat(Grain Market)",Wheat,Other,FAQ,12/11/2024,2500,2750,2625
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bhindi(Ladies Finger)",Other,FAQ,12/11/2024,5000,6000,5500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Potato,Other,FAQ,12/11/2024,2800,3300,3100
Gujarat,Bharuch,Jambusar,"Castor Seed",Other,FAQ,12/11/2024,4500,5300,4900
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,FAQ,12/11/2024,3500,3900,3700
Gujarat,Bhavnagar,Taleja,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,12/11/2024,5625,5625,5625
Gujarat,Bhavnagar,Taleja,"Cummin Seed(Jeera)",Other,FAQ,12/11/2024,20825,23400,22115
Gujarat,Dahod,Limkheda,Wheat,Other,FAQ,12/11/2024,2400,2600,2500
Gujarat,"Gir Somnath",Talalagir,"Green Chilli",Other,FAQ,12/11/2024,3000,5500,4000
Gujarat,Jamnagar,Dhrol,Cotton,Other,FAQ,12/11/2024,6550,7850,7200
Gujarat,Junagarh,Mangrol,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,12/11/2024,2405,3405,3300
Gujarat,Mehsana,Mehsana(Jornang),"Castor Seed","Castor seed",FAQ,12/11/2024,6375,6400,6390
Gujarat,Mehsana,Mehsana(Jornang),Wheat,Other,FAQ,12/11/2024,2700,3305,3000
Gujarat,Panchmahals,Gogamba,Paddy(Dhan)(Common),"G. R. 11",FAQ,12/11/2024,2300,2400,2350
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Apple,Apple,Medium,12/11/2024,4000,10000,7000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Cabbage,Cabbage,FAQ,12/11/2024,1500,2200,1850
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Carrot,Carrot,FAQ,12/11/2024,2000,4000,3000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Cauliflower,Cauliflower,FAQ,12/11/2024,2000,3000,2500
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Tomato,Tomato,FAQ,12/11/2024,2500,4700,3600
Gujarat,Rajkot,Rajkot,"Castor Seed",Caster,FAQ,12/11/2024,5630,6380,5990
Gujarat,Rajkot,Rajkot,Groundnut,G20,FAQ,12/11/2024,5100,6075,6000
Gujarat,Rajkot,Rajkot,"Methi Seeds",Methiseeds,FAQ,12/11/2024,5250,6735,6150
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Cluster beans","Cluster Beans",FAQ,12/11/2024,5000,7000,6000
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Coriander(Leaves),Coriander,FAQ,12/11/2024,2000,3000,2500
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Lemon,Lemon,FAQ,12/11/2024,3500,5500,4500
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Tomato,Tomato,FAQ,12/11/2024,2750,4000,3250
Gujarat,Sabarkantha,Modasa(Tintoi),Groundnut,Local,FAQ,12/11/2024,4400,6450,6450
Gujarat,Surat,Mahuva(Anaval),"Pointed gourd (Parval)",Other,FAQ,12/11/2024,3100,3250,3200
Gujarat,Surat,Mandvi,Soyabean,Other,FAQ,12/11/2024,3000,4150,3575
Gujarat,Surendranagar,"Dasada Patadi","Guar Seed(Cluster Beans Seed)",Whole,FAQ,12/11/2024,4150,4550,4450
Gujarat,Surendranagar,Vadhvan,Brinjal,Brinjal,FAQ,12/11/2024,5500,6500,6000
Gujarat,Surendranagar,Vadhvan,Carrot,Carrot,FAQ,12/11/2024,2000,2500,2250
Gujarat,Surendranagar,Vadhvan,Tinda,Tinda,FAQ,12/11/2024,4000,5000,4500
Gujarat,Valsad,Valsad,Banana,Other,Medium,12/11/2024,2500,2600,2550
Haryana,Faridabad,Ballabhgarh,Brinjal,Other,FAQ,12/11/2024,800,1200,1000
Haryana,Faridabad,Ballabhgarh,Cucumbar(Kheera),Other,FAQ,12/11/2024,1000,1500,1200
Haryana,Faridabad,Ballabhgarh,"Green Chilli",Other,FAQ,12/11/2024,1500,2000,1600
Haryana,Faridabad,Ballabhgarh,Onion,Other,FAQ,12/11/2024,1500,2000,2000
Haryana,Gurgaon,Gurgaon,"Bottle gourd","Bottle Gourd",FAQ,12/11/2024,1000,1400,1200
Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,12/11/2024,2000,4000,3000
Haryana,Hissar,Hansi,Cabbage,Other,FAQ,12/11/2024,1500,2000,1800
Haryana,Hissar,Hansi,Cauliflower,Other,FAQ,12/11/2024,700,800,700
Haryana,Hissar,Hansi,Chikoos(Sapota),Other,Medium,12/11/2024,5000,6000,5500
Haryana,Hissar,Hansi,Cucumbar(Kheera),Other,FAQ,12/11/2024,1500,2000,1800
Haryana,Hissar,Hansi,"Peas Wet",Other,FAQ,12/11/2024,10000,10000,10000
Haryana,Hissar,Uklana,Apple,Apple,Medium,12/11/2024,4000,6000,6000
Haryana,Hissar,Uklana,"Bhindi(Ladies Finger)",Bhindi,FAQ,12/11/2024,1400,1400,1400
Haryana,Hissar,Uklana,Paddy(Dhan)(Common),D.B.,FAQ,12/11/2024,3161,3361,3361
Haryana,Kurukshetra,Ladwa,Cucumbar(Kheera),Cucumbar,FAQ,12/11/2024,1200,1700,1500
Haryana,Mahendragarh-Narnaul,Narnaul,Apple,Apple,Medium,12/11/2024,6000,7000,7000
Haryana,Mahendragarh-Narnaul,Narnaul,"Green Chilli",Other,FAQ,12/11/2024,3000,5000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,"Mousambi(Sweet Lime)",Other,Medium,12/11/2024,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,Onion,Other,FAQ,12/11/2024,2500,4000,3500
Haryana,Mahendragarh-Narnaul,Narnaul,Pomegranate,Other,Medium,12/11/2024,8000,8000,8000
Haryana,Mahendragarh-Narnaul,Narnaul,"Sweet Potato",Other,FAQ,12/11/2024,1500,2000,2000
Haryana,Mahendragarh-Narnaul,Narnaul,Tinda,Other,FAQ,12/11/2024,1000,2000,1500
Haryana,Mewat,Punhana,"Onion Green","Onion Green",FAQ,12/11/2024,1500,1500,1500
Haryana,Mewat,Tauru,Ginger(Green),Other,FAQ,12/11/2024,6000,6000,6000
Haryana,Mewat,Tauru,"Green Chilli","Green Chilly",FAQ,12/11/2024,3000,3000,3000
Haryana,Mewat,Tauru,Tomato,Tomato,FAQ,12/11/2024,4000,4500,4000
Haryana,Panchkula,Barwala,"Bottle gourd",Other,FAQ,12/11/2024,1000,1500,1250
